family,alpha,file,overlap,p,sigma_y,n_ok,lam_min,lam_floor,rmse_min,rmse_floor,gain_floor,cv.bloss_vs_min,cv.smd_vs_min,cv.inf_vs_min,boot.smd_vs_min,boot.inf_vs_min,best,rmse_best,best_vs_floor,z_best,z_bootinf,z_cvbloss,s_y,dense,n,mcse_rel
dim,0.25,dim_01_r200.rds,good,100,1,200,0.01513642876123941,0.01513642876123941,0.07788208946899451,0.07788208946899451,0,2.529736417381393,5.065824342253362,4.460367706969077,1.1970834572787161,1.2045683371992082,boot.smd,0.09323136092163424,0.19708345727871612,5.476702602235369,5.472635727771622,17.42778827665611,NA,NA,NA,0.05
dim,0.25,dim_02_r200.rds,moderate,100,1,200,0.02148257185026497,0.02148257185026497,0.15883674211411422,0.15883674211411422,0,2.01285124193414,4.471010895752024,3.4437189291071837,1.6874875984385156,1.337614262839431,boot.inf,0.2124622917147877,0.33761426283943097,19.471184325382335,19.471184325382335,35.28283275543782,NA,NA,NA,0.05
dim,0.25,dim_03_r200.rds,bad,100,1,200,0.04084102588986987,0.0244835517878451,0.3457637738577145,0.3469438011343577,0.003412813504079848,1.3071691168836002,2.536449323401141,1.9501996809221354,2.150289934466572,1.0673695111259114,boot.inf,0.3690577102675589,0.06373916772946564,10.459994300686082,10.459994300686082,29.776487933826946,NA,NA,NA,0.05
dim,0.25,dim_04_r200.rds,awful,100,1,200,0.04762860887998019,0.026016066519511393,0.49621918077267596,0.4981764223863379,0.003944308663389906,1.1203479874225017,1.9526726990112129,1.501016686643569,1.7082094770273535,1.019064905570954,boot.inf,0.5056795525966031,0.015061190921730416,4.100291214652151,4.100291214652151,18.29452937003482,NA,NA,NA,0.05
dim,0.25,dim_05_r200.rds,good,500,1,200,0.0889182773101156,0.015181485617395896,0.16797778100549624,0.1943946099046557,0.15726382823389673,1.5258865786360016,3.480537640910514,2.636580805361689,1.7487067598167114,1.0670186222763764,boot.inf,0.17923542046152746,-0.07798153174392719,-8.412899744497066,-8.412899744497066,24.6255557298544,NA,NA,NA,0.05
dima,0.5,dima_01_r200.rds,moderate,100,1,200,0.03012990288673113,0.010335970645258237,0.14856264540664912,0.15639257682362223,0.052704577220880955,1.8838234404235303,4.804793030685039,3.6361488879572788,2.94553992509422,1.2205131949274826,boot.inf,0.18132266899214802,0.1594071321981072,8.985906409080963,8.985906409080963,25.62447024606002,NA,NA,NA,0.05
dima,0.5,dima_02_r200.rds,bad,100,1,200,0.06828257126126233,0.012213358892928768,0.29875435393911853,0.32651195285576723,0.09291111091992743,1.305321110712668,2.9372698864228868,2.235467067723367,2.474257287785971,1.0767997814400183,boot.inf,0.3216986230258967,-0.014741665007273919,-1.5269754591194717,-1.5269754591194717,13.715140053681862,NA,NA,NA,0.05
dima,0.75,dima_03_r200.rds,moderate,100,1,200,0.03025607062386052,0.007154015865836993,0.11672606106181933,0.13501299650422086,0.15666540339022128,2.191363512018804,6.182543933617482,4.704465622085403,4.3393510423118045,1.3387683300994804,boot.inf,0.15626915384682186,0.15743786074651323,4.811603530384043,4.811603530384043,21.299864565081048,NA,NA,NA,0.05
dima,0.75,dima_04_r200.rds,bad,100,1,200,0.07708385269158953,0.007889771451733665,0.2700059017445606,0.3354026006337595,0.24220470169969666,1.3905937565098356,3.339369262990786,2.5202460665808175,2.790673052086035,1.2893314182799784,boot.inf,0.34812709224027877,0.03793796345787337,3.2851551572803546,3.2851551572803546,7.698896511330469,NA,NA,NA,0.05
dima,0.5,dima_05_r200.rds,moderate,500,1,200,0.10987891667657945,0.012342962782039188,0.26210774664933606,0.4020248090133254,0.533815059465522,1.262215516294333,3.4481900826444574,2.402348584401933,3.259368683055599,1.0450288968954846,boot.inf,0.2739101693487168,-0.31867346689134834,-41.547288760150586,-41.547288760150586,-20.460370725448417,NA,NA,NA,0.05
dima,0.5,dima_06_r200.rds,bad,500,1,200,0.15071642496266746,0.018581025309558942,0.41626282297277184,0.5773119845088484,0.3868929739771907,1.0912278253024665,2.5492169234084074,1.8114840961184786,2.440623682736762,1.0202535016668925,boot.inf,0.4246936027517163,-0.26436032137280685,-54.95162073487063,-54.95162073487063,-38.78954943567927,NA,NA,NA,0.05
dima,0.75,dima_07_r200.rds,moderate,500,1,200,0.08546913146439866,0.018413766175379608,0.22986798424040064,0.3779171925270406,0.6440618895922761,1.3536500085491359,3.9814522726867767,2.7980865367650134,3.768369334992593,1.36981525567654,cv.bloss,0.31116079883219094,-0.1766429128256003,-19.275621809941075,-32.0666436003632,-19.275621809941075,NA,NA,NA,0.05
dima,0.75,dima_08_r200.rds,bad,500,1,200,0.12237783330881158,0.028936109120116942,0.3488337507693497,0.5216855805817322,0.4955134915447812,1.1890019465229758,3.0311960923971646,2.132488109518379,2.9336864045194884,1.19958730154067,cv.bloss,0.4147640086776674,-0.20495404872957468,-27.136210964682974,-48.08969517166405,-27.136210964682974,NA,NA,NA,0.05
dimhi,0.5,dimhi_01_r200.rds,moderate,1000,1,200,0.14330465894649377,0.02813128708521245,0.30397123198770504,0.501894281845459,0.651124280950901,1.1566739773498418,3.051797679082227,2.1935010415848417,2.978349412493637,1.0671925634235464,boot.inf,0.32439583827197244,-0.3536570349453415,-59.9044522311771,-59.9044522311771,-45.39844038831296,NA,NA,NA,0.05
dimhi,0.5,dimhi_02_r200.rds,bad,1000,1,200,0.18083234049430771,0.03388467902348552,0.4455575307016365,0.6547506931463134,0.46950875707397977,1.0550391907293906,2.39365594576796,1.7290823892030842,2.355649776225364,1.0134270033035717,boot.inf,0.4515400331382986,-0.3103634133344926,-77.97640757860627,-77.97640757860627,-65.19831213993507,NA,NA,NA,0.05
dimhi,0.75,dimhi_03_r200.rds,moderate,1000,1,200,0.10306683638049952,0.0370403004869355,0.26006855867404816,0.4364330302386807,0.6781460721888934,1.262287779611323,3.5902818520829913,2.588266925104383,3.5188152466575886,1.3242486215002818,cv.bloss,0.32828136347538134,-0.24780816132122796,-29.462649153835006,-37.6952971677852,-29.462649153835006,NA,NA,NA,0.05
dimhi,0.75,dimhi_04_r200.rds,bad,1000,1,200,0.14185067099687815,0.044338489062385356,0.3708385946763651,0.5687313709655266,0.5336358705109017,1.1290529127619326,2.868265624577154,2.061621585790793,2.824013331357667,1.173024170353373,cv.bloss,0.4186963954838917,-0.2638063998947743,-42.833733536582876,-58.741674775709996,-42.833733536582876,NA,NA,NA,0.05
dimhi,1,dimhi_05_r200.rds,moderate,1000,1,200,0.10159920764184988,0.10159920764184988,0.24697912737064992,0.24697912737064992,0,1.2664881468181899,3.818981013203824,2.7397612252340764,3.73312074790207,1.4830914984310137,cv.bloss,0.3127961373264281,0.2664881468181899,26.73802104178237,23.415054358563033,26.73802104178237,NA,NA,NA,0.05
dimhi,1,dimhi_06_r200.rds,bad,1000,1,200,0.14874819123025904,0.14874819123025904,0.34116515385376023,0.34116515385376023,0,1.1745354735209328,3.1364610047192096,2.272930555755201,3.095490614867873,1.4641544930974455,cv.bloss,0.4007105755304682,0.1745354735209328,18.328741625025764,47.216190641480736,18.328741625025764,NA,NA,NA,0.05
dimhi,0.5,dimhi_07_r200.rds,moderate,2000,1,200,0.16345649784010205,0.046552996877750975,0.3348341747985199,0.5754357155733846,0.7185692467611531,1.1057365691737884,2.789606472272517,2.077466021205148,2.759054416408467,1.0635335839669293,boot.inf,0.35610738995807917,-0.38115174237448723,-72.95008254047552,-72.95008254047552,-67.1035708070498,NA,NA,NA,0.05
dimhi,0.5,dimhi_08_r200.rds,bad,2000,1,200,0.20642734351726189,0.053568395432222506,0.4677609342048591,0.7143689439174394,0.5272095031445629,1.032391425613171,2.283536025867374,1.694026685745023,2.2675365633607347,1.0141730779675784,boot.inf,0.4743905463955319,-0.335930613396937,-85.93704635104582,-85.93704635104582,-80.43210131259364,NA,NA,NA,0.05
dimhi,0.75,dimhi_09_r200.rds,moderate,2000,1,200,0.11999576916998334,0.054416623467531566,0.2862528966960877,0.4748926609751889,0.6589968746390658,1.1947243687318785,3.295404761127624,2.4798673824625386,3.2629040327610066,1.2907450194404368,cv.bloss,0.34199331130290506,-0.2798513445109384,-42.898343714622776,-46.23290988503789,-42.898343714622776,NA,NA,NA,0.05
