"name","files","identical","n_files","n_variants","variant_groups","depth"
"fit","CV Extension/run_wc_basis.R; CV Extension/run_wc_noise.R; CV Extension/run_wc_overlap.R; CV Extension/run_wc_overlap_n.R; CV Extension/run_wc_path.R; CV Extension/sbw_wc.R; Exploring CV/balnet_mini_experiment edited.R; Exploring CV/balnet_mini_experiment Machine 2.R; Exploring CV/balnet_mini_experiment WINDOWS.R; Extension_CV/scripts/cv_smoke_test.R; Extension_CV/scripts/run_alpha_sweep_bad_overlap__alpha_bad.R; Extension_CV/scripts/run_alpha_x_overlap_x_density_50reps__tunea.R; Extension_CV/scripts/run_bad_overlap_noise10_1000reps__tune4_19.R; Extension_CV/scripts/run_confounder_spread_x_penalty__spread.R; Extension_CV/scripts/run_high_p_x_alpha_x_overlap__dimhi.R; Extension_CV/scripts/run_n_x_overlap_enet__n_enet.R; Extension_CV/scripts/run_noise_axis_moderate_bad__snr_mb.R; Extension_CV/scripts/run_noise_x_overlap_density_diluted__tune.R; Extension_CV/scripts/run_noise_x_overlap_density_fixed__tune2.R; Extension_CV/scripts/run_noise_x_overlap_enet__snr_enet.R; Extension_CV/scripts/run_noise_x_overlap_lasso__tune4.R; Extension_CV/scripts/run_overlap_axis__ov_s1.R; Extension_CV/scripts/run_overlap_axis_1000reps__ov_1k.R; Extension_CV/scripts/run_overlap_axis_maxit1e5__ov_s1_m5.R; Extension_CV/scripts/run_p_x_alpha_x_overlap__dima.R; Extension_CV/scripts/run_p_x_overlap_x_density__tunep2.R; Extension_CV/scripts/run_ridge_enet_lowered_floor__tunea4.R; Extension_CV/scripts/run_ridge_enet_x_overlap_x_density__tunea3.R",FALSE,28,10,"CV Extension/sbw_wc.R ;; Extension_CV/scripts/run_n_x_overlap_enet__n_enet.R ;; Exploring CV/balnet_mini_experiment edited.R | Exploring CV/balnet_mini_experiment Machine 2.R | Exploring CV/balnet_mini_experiment WINDOWS.R | Extension_CV/scripts/cv_smoke_test.R | Extension_CV/scripts/run_noise_x_overlap_density_diluted__tune.R | Extension_CV/scripts/run_noise_x_overlap_density_fixed__tune2.R | Extension_CV/scripts/run_p_x_overlap_x_density__tunep2.R ;; Extension_CV/scripts/run_bad_overlap_noise10_1000reps__tune4_19.R | Extension_CV/scripts/run_noise_axis_moderate_bad__snr_mb.R | Extension_CV/scripts/run_noise_x_overlap_enet__snr_enet.R | Extension_CV/scripts/run_noise_x_overlap_lasso__tune4.R | Extension_CV/scripts/run_overlap_axis__ov_s1.R ;; Extension_CV/scripts/run_overlap_axis_1000reps__ov_1k.R | Extension_CV/scripts/run_overlap_axis_maxit1e5__ov_s1_m5.R ;; Extension_CV/scripts/run_confounder_spread_x_penalty__spread.R ;; Extension_CV/scripts/run_ridge_enet_lowered_floor__tunea4.R ;; Extension_CV/scripts/run_alpha_x_overlap_x_density_50reps__tunea.R | Extension_CV/scripts/run_high_p_x_alpha_x_overlap__dimhi.R | Extension_CV/scripts/run_p_x_alpha_x_overlap__dima.R | Extension_CV/scripts/run_ridge_enet_x_overlap_x_density__tunea3.R ;; Extension_CV/scripts/run_alpha_sweep_bad_overlap__alpha_bad.R ;; CV Extension/run_wc_basis.R | CV Extension/run_wc_noise.R | CV Extension/run_wc_overlap.R | CV Extension/run_wc_overlap_n.R | CV Extension/run_wc_path.R","6/7/3/4"
"one_rep","CV Extension/run_wc_basis.R; CV Extension/run_wc_noise.R; CV Extension/run_wc_overlap.R; CV Extension/run_wc_overlap_n.R; CV Extension/run_wc_path.R; Exploring CV/balnet_mini_experiment edited.R; Exploring CV/balnet_mini_experiment Machine 2.R; Exploring CV/balnet_mini_experiment WINDOWS.R; Extension_CV/scripts/cv_smoke_test.R; Extension_CV/scripts/run_alpha_sweep_bad_overlap__alpha_bad.R; Extension_CV/scripts/run_alpha_x_overlap_x_density_50reps__tunea.R; Extension_CV/scripts/run_bad_overlap_noise10_1000reps__tune4_19.R; Extension_CV/scripts/run_confounder_spread_x_penalty__spread.R; Extension_CV/scripts/run_high_p_x_alpha_x_overlap__dimhi.R; Extension_CV/scripts/run_n_x_overlap_enet__n_enet.R; Extension_CV/scripts/run_noise_axis_moderate_bad__snr_mb.R; Extension_CV/scripts/run_noise_x_overlap_density_diluted__tune.R; Extension_CV/scripts/run_noise_x_overlap_density_fixed__tune2.R; Extension_CV/scripts/run_noise_x_overlap_enet__snr_enet.R; Extension_CV/scripts/run_noise_x_overlap_lasso__tune4.R; Extension_CV/scripts/run_overlap_axis__ov_s1.R; Extension_CV/scripts/run_overlap_axis_1000reps__ov_1k.R; Extension_CV/scripts/run_overlap_axis_maxit1e5__ov_s1_m5.R; Extension_CV/scripts/run_p_x_alpha_x_overlap__dima.R; Extension_CV/scripts/run_p_x_overlap_x_density__tunep2.R; Extension_CV/scripts/run_ridge_enet_lowered_floor__tunea4.R; Extension_CV/scripts/run_ridge_enet_x_overlap_x_density__tunea3.R",FALSE,27,16,"CV Extension/run_wc_path.R ;; CV Extension/run_wc_overlap_n.R ;; CV Extension/run_wc_overlap.R ;; CV Extension/run_wc_basis.R ;; CV Extension/run_wc_noise.R ;; Exploring CV/balnet_mini_experiment edited.R | Exploring CV/balnet_mini_experiment Machine 2.R | Exploring CV/balnet_mini_experiment WINDOWS.R | Extension_CV/scripts/cv_smoke_test.R | Extension_CV/scripts/run_noise_x_overlap_density_diluted__tune.R ;; Extension_CV/scripts/run_noise_x_overlap_density_fixed__tune2.R | Extension_CV/scripts/run_p_x_overlap_x_density__tunep2.R ;; Extension_CV/scripts/run_noise_x_overlap_lasso__tune4.R ;; Extension_CV/scripts/run_alpha_x_overlap_x_density_50reps__tunea.R | Extension_CV/scripts/run_ridge_enet_x_overlap_x_density__tunea3.R ;; Extension_CV/scripts/run_alpha_sweep_bad_overlap__alpha_bad.R ;; Extension_CV/scripts/run_n_x_overlap_enet__n_enet.R ;; Extension_CV/scripts/run_bad_overlap_noise10_1000reps__tune4_19.R | Extension_CV/scripts/run_noise_axis_moderate_bad__snr_mb.R | Extension_CV/scripts/run_noise_x_overlap_enet__snr_enet.R | Extension_CV/scripts/run_overlap_axis__ov_s1.R ;; Extension_CV/scripts/run_overlap_axis_1000reps__ov_1k.R | Extension_CV/scripts/run_overlap_axis_maxit1e5__ov_s1_m5.R ;; Extension_CV/scripts/run_confounder_spread_x_penalty__spread.R ;; Extension_CV/scripts/run_ridge_enet_lowered_floor__tunea4.R ;; Extension_CV/scripts/run_high_p_x_alpha_x_overlap__dimhi.R | Extension_CV/scripts/run_p_x_alpha_x_overlap__dima.R","0"
"gen_cell","Exploring CV/balnet_mini_experiment edited.R; Exploring CV/balnet_mini_experiment Machine 2.R; Exploring CV/balnet_mini_experiment WINDOWS.R; Extension_CV/scripts/run_alpha_sweep_bad_overlap__alpha_bad.R; Extension_CV/scripts/run_alpha_x_overlap_x_density_50reps__tunea.R; Extension_CV/scripts/run_bad_overlap_noise10_1000reps__tune4_19.R; Extension_CV/scripts/run_confounder_spread_x_penalty__spread.R; Extension_CV/scripts/run_high_p_x_alpha_x_overlap__dimhi.R; Extension_CV/scripts/run_n_x_overlap_enet__n_enet.R; Extension_CV/scripts/run_noise_axis_moderate_bad__snr_mb.R; Extension_CV/scripts/run_noise_x_overlap_density_fixed__tune2.R; Extension_CV/scripts/run_noise_x_overlap_enet__snr_enet.R; Extension_CV/scripts/run_noise_x_overlap_lasso__tune4.R; Extension_CV/scripts/run_overlap_axis__ov_s1.R; Extension_CV/scripts/run_overlap_axis_1000reps__ov_1k.R; Extension_CV/scripts/run_overlap_axis_maxit1e5__ov_s1_m5.R; Extension_CV/scripts/run_p_x_alpha_x_overlap__dima.R; Extension_CV/scripts/run_p_x_overlap_x_density__tunep2.R; Extension_CV/scripts/run_ridge_enet_lowered_floor__tunea4.R; Extension_CV/scripts/run_ridge_enet_x_overlap_x_density__tunea3.R",FALSE,20,12,"Extension_CV/scripts/run_alpha_sweep_bad_overlap__alpha_bad.R ;; Extension_CV/scripts/run_n_x_overlap_enet__n_enet.R ;; Exploring CV/balnet_mini_experiment edited.R | Exploring CV/balnet_mini_experiment Machine 2.R | Extension_CV/scripts/run_p_x_overlap_x_density__tunep2.R ;; Extension_CV/scripts/run_overlap_axis__ov_s1.R | Extension_CV/scripts/run_overlap_axis_1000reps__ov_1k.R | Extension_CV/scripts/run_overlap_axis_maxit1e5__ov_s1_m5.R ;; Extension_CV/scripts/run_alpha_x_overlap_x_density_50reps__tunea.R ;; Exploring CV/balnet_mini_experiment WINDOWS.R | Extension_CV/scripts/run_noise_x_overlap_density_fixed__tune2.R ;; Extension_CV/scripts/run_confounder_spread_x_penalty__spread.R ;; Extension_CV/scripts/run_ridge_enet_lowered_floor__tunea4.R ;; Extension_CV/scripts/run_ridge_enet_x_overlap_x_density__tunea3.R ;; Extension_CV/scripts/run_noise_x_overlap_enet__snr_enet.R | Extension_CV/scripts/run_noise_x_overlap_lasso__tune4.R ;; Extension_CV/scripts/run_high_p_x_alpha_x_overlap__dimhi.R | Extension_CV/scripts/run_p_x_alpha_x_overlap__dima.R ;; Extension_CV/scripts/run_bad_overlap_noise10_1000reps__tune4_19.R | Extension_CV/scripts/run_noise_axis_moderate_bad__snr_mb.R","0"
"rmse","CV Extension/plot_wt_att.R; CV Extension/wc_grids.R; Exploring CV/balnet_mini_experiment edited.R; Exploring CV/balnet_mini_experiment Machine 2.R; Exploring CV/balnet_mini_experiment WINDOWS.R; Extension_CV/scripts/run_alpha_sweep_bad_overlap__alpha_bad.R; Extension_CV/scripts/run_alpha_x_overlap_x_density_50reps__tunea.R; Extension_CV/scripts/run_confounder_spread_x_penalty__spread.R; Extension_CV/scripts/run_high_p_x_alpha_x_overlap__dimhi.R; Extension_CV/scripts/run_n_x_overlap_enet__n_enet.R; Extension_CV/scripts/run_noise_x_overlap_density_diluted__tune.R; Extension_CV/scripts/run_noise_x_overlap_density_fixed__tune2.R; Extension_CV/scripts/run_noise_x_overlap_enet__snr_enet.R; Extension_CV/scripts/run_noise_x_overlap_lasso__tune4.R; Extension_CV/scripts/run_p_x_alpha_x_overlap__dima.R; Extension_CV/scripts/run_p_x_overlap_x_density__tunep2.R; Extension_CV/scripts/run_ridge_enet_lowered_floor__tunea4.R; Extension_CV/scripts/run_ridge_enet_x_overlap_x_density__tunea3.R; CV Extension/Replication w Balnet As well.qmd",FALSE,19,3,"CV Extension/wc_grids.R | CV Extension/Replication w Balnet As well.qmd ;; Exploring CV/balnet_mini_experiment edited.R | Exploring CV/balnet_mini_experiment Machine 2.R | Exploring CV/balnet_mini_experiment WINDOWS.R | Extension_CV/scripts/run_alpha_sweep_bad_overlap__alpha_bad.R | Extension_CV/scripts/run_alpha_x_overlap_x_density_50reps__tunea.R | Extension_CV/scripts/run_confounder_spread_x_penalty__spread.R | Extension_CV/scripts/run_high_p_x_alpha_x_overlap__dimhi.R | Extension_CV/scripts/run_n_x_overlap_enet__n_enet.R | Extension_CV/scripts/run_noise_x_overlap_density_diluted__tune.R | Extension_CV/scripts/run_noise_x_overlap_density_fixed__tune2.R | Extension_CV/scripts/run_noise_x_overlap_enet__snr_enet.R | Extension_CV/scripts/run_noise_x_overlap_lasso__tune4.R | Extension_CV/scripts/run_p_x_alpha_x_overlap__dima.R | Extension_CV/scripts/run_p_x_overlap_x_density__tunep2.R | Extension_CV/scripts/run_ridge_enet_lowered_floor__tunea4.R | Extension_CV/scripts/run_ridge_enet_x_overlap_x_density__tunea3.R ;; CV Extension/plot_wt_att.R","0"
"bind","CV Extension/plot_wt_att.R; CV Extension/wc_grids.R; Exploring CV/balnet_mini_experiment edited.R; Exploring CV/balnet_mini_experiment Machine 2.R; Exploring CV/balnet_mini_experiment WINDOWS.R; Extension_CV/scripts/run_alpha_x_overlap_x_density_50reps__tunea.R; Extension_CV/scripts/run_confounder_spread_x_penalty__spread.R; Extension_CV/scripts/run_high_p_x_alpha_x_overlap__dimhi.R; Extension_CV/scripts/run_noise_x_overlap_density_diluted__tune.R; Extension_CV/scripts/run_noise_x_overlap_density_fixed__tune2.R; Extension_CV/scripts/run_noise_x_overlap_enet__snr_enet.R; Extension_CV/scripts/run_noise_x_overlap_lasso__tune4.R; Extension_CV/scripts/run_p_x_alpha_x_overlap__dima.R; Extension_CV/scripts/run_p_x_overlap_x_density__tunep2.R; Extension_CV/scripts/run_ridge_enet_lowered_floor__tunea4.R; Extension_CV/scripts/run_ridge_enet_x_overlap_x_density__tunea3.R; CV Extension/Replication w Balnet As well.qmd",FALSE,17,3,"Exploring CV/balnet_mini_experiment edited.R | Exploring CV/balnet_mini_experiment Machine 2.R | Exploring CV/balnet_mini_experiment WINDOWS.R | Extension_CV/scripts/run_alpha_x_overlap_x_density_50reps__tunea.R | Extension_CV/scripts/run_noise_x_overlap_density_diluted__tune.R | Extension_CV/scripts/run_noise_x_overlap_density_fixed__tune2.R | Extension_CV/scripts/run_noise_x_overlap_lasso__tune4.R | Extension_CV/scripts/run_p_x_overlap_x_density__tunep2.R | Extension_CV/scripts/run_ridge_enet_x_overlap_x_density__tunea3.R ;; Extension_CV/scripts/run_confounder_spread_x_penalty__spread.R | Extension_CV/scripts/run_high_p_x_alpha_x_overlap__dimhi.R | Extension_CV/scripts/run_noise_x_overlap_enet__snr_enet.R | Extension_CV/scripts/run_p_x_alpha_x_overlap__dima.R | Extension_CV/scripts/run_ridge_enet_lowered_floor__tunea4.R ;; CV Extension/plot_wt_att.R | CV Extension/wc_grids.R | CV Extension/Replication w Balnet As well.qmd","0/3/2"
"dgp_gen","runs/correct+misspecDGP2.R; runs/correctspecDGP2 N800K.R; runs/cvfix.R; runs/DimensionDGP2.R; runs/DimensionDGP2N5K.R; runs/Overlap+mispecDGP2.R; runs/PoverMDGP2.R; runs/SNR.R; runs/Sparsity 2.R; runs/Sparsity.R; runs/Treat Prop.R; runs/Weak Instruments.R; Tests/balnet fix.R",FALSE,13,10,"runs/PoverMDGP2.R | Tests/balnet fix.R ;; runs/Weak Instruments.R ;; runs/Sparsity.R ;; runs/Sparsity 2.R ;; runs/cvfix.R ;; runs/correctspecDGP2 N800K.R ;; runs/SNR.R ;; runs/Treat Prop.R ;; runs/correct+misspecDGP2.R | runs/Overlap+mispecDGP2.R ;; runs/DimensionDGP2.R | runs/DimensionDGP2N5K.R","0"
"title_of","Exploring CV/balnet_mini_experiment edited.R; Exploring CV/balnet_mini_experiment Machine 2.R; Exploring CV/balnet_mini_experiment WINDOWS.R; Extension_CV/scripts/run_alpha_x_overlap_x_density_50reps__tunea.R; Extension_CV/scripts/run_noise_x_overlap_density_diluted__tune.R; Extension_CV/scripts/run_noise_x_overlap_density_fixed__tune2.R; Extension_CV/scripts/run_noise_x_overlap_enet__snr_enet.R; Extension_CV/scripts/run_noise_x_overlap_lasso__tune4.R; Extension_CV/scripts/run_p_x_overlap_x_density__tunep2.R; Extension_CV/scripts/run_ridge_enet_lowered_floor__tunea4.R; Extension_CV/scripts/run_ridge_enet_x_overlap_x_density__tunea3.R",FALSE,11,9,"Extension_CV/scripts/run_p_x_overlap_x_density__tunep2.R ;; Exploring CV/balnet_mini_experiment Machine 2.R ;; Extension_CV/scripts/run_noise_x_overlap_enet__snr_enet.R ;; Extension_CV/scripts/run_noise_x_overlap_lasso__tune4.R ;; Extension_CV/scripts/run_noise_x_overlap_density_fixed__tune2.R ;; Exploring CV/balnet_mini_experiment edited.R | Exploring CV/balnet_mini_experiment WINDOWS.R | Extension_CV/scripts/run_noise_x_overlap_density_diluted__tune.R ;; Extension_CV/scripts/run_ridge_enet_x_overlap_x_density__tunea3.R ;; Extension_CV/scripts/run_alpha_x_overlap_x_density_50reps__tunea.R ;; Extension_CV/scripts/run_ridge_enet_lowered_floor__tunea4.R","0"
"att","CV Extension/run_wc_basis.R; CV Extension/run_wc_noise.R; CV Extension/run_wc_overlap.R; CV Extension/run_wc_overlap_n.R; CV Extension/run_wc_path.R",FALSE,5,2,"CV Extension/run_wc_path.R ;; CV Extension/run_wc_basis.R | CV Extension/run_wc_noise.R | CV Extension/run_wc_overlap.R | CV Extension/run_wc_overlap_n.R","6"
"f","CV Extension/dgp_wc.R; CV Extension/dgp_wc_overlap.R; R/dgp.R; Tests/DGP2 validity T1.R; Tests/DGP2 validity.R",FALSE,5,2,"CV Extension/dgp_wc.R | CV Extension/dgp_wc_overlap.R ;; R/dgp.R | Tests/DGP2 validity T1.R | Tests/DGP2 validity.R","3/5"
"gen_data","Exploring CV/balnet_mini_experiment edited.R; Exploring CV/balnet_mini_experiment Machine 2.R; Exploring CV/balnet_mini_experiment WINDOWS.R; Exploring CV/balnet_mini_experiment.R; Extension_CV/R/dgp_cv.R",TRUE,5,1,"","0"
