"name","file_before","file_after","depth","verified","note"
"end_slope","Extension_CV/scripts/analyse_path_end_slope.R","analysis/cv/basic_dgp/analyse_path_end_slope.R",0,TRUE,""
"col","Exploring CV/cv_summary.qmd","analysis/cv/basic_dgp/cv_summary.qmd",0,TRUE,""
"fmt","Exploring CV/cv_summary.qmd","analysis/cv/basic_dgp/cv_summary.qmd",0,TRUE,""
"get_opt","Exploring CV/cv_summary.qmd","analysis/cv/basic_dgp/cv_summary.qmd",0,TRUE,""
"get_sel","Exploring CV/cv_summary.qmd","analysis/cv/basic_dgp/cv_summary.qmd",0,TRUE,""
"rel","Exploring CV/cv_summary.qmd","analysis/cv/basic_dgp/cv_summary.qmd",0,TRUE,""
"show","Exploring CV/cv_summary.qmd","analysis/cv/basic_dgp/cv_summary.qmd",0,TRUE,""
"axis_panels","Exploring CV/plot_grids.R","analysis/cv/basic_dgp/plot_grids.R",0,TRUE,""
"grid_png","Exploring CV/plot_grids.R","analysis/cv/basic_dgp/plot_grids.R",0,TRUE,""
"lev","Exploring CV/plot_grids.R","analysis/cv/basic_dgp/plot_grids.R",3,TRUE,""
"panel_rmse","Exploring CV/plot_grids.R","analysis/cv/basic_dgp/plot_grids.R",0,TRUE,""
"path_png","Exploring CV/plot_grids.R","analysis/cv/basic_dgp/plot_grids.R",0,TRUE,""
"penalty_picks_csv","Exploring CV/plot_grids.R","analysis/cv/basic_dgp/plot_grids.R",0,TRUE,""
"make_rmse_table","Exploring CV/prep_cv_summary.R","analysis/cv/basic_dgp/prep_cv_summary.R",0,TRUE,""
"summarise_file","Exploring CV/prep_cv_summary.R","analysis/cv/basic_dgp/prep_cv_summary.R",0,TRUE,""
"vs_floor","Exploring CV/prep_cv_summary.R","analysis/cv/basic_dgp/prep_cv_summary.R",0,TRUE,""
"z_vs_floor","Exploring CV/prep_cv_summary.R","analysis/cv/basic_dgp/prep_cv_summary.R",7,TRUE,""
"bind","CV Extension/plot_wt_att.R","analysis/cv/wz_replication/plot_wc_att.R",0,TRUE,""
"rmse","CV Extension/plot_wt_att.R","analysis/cv/wz_replication/plot_wc_att.R",0,TRUE,""
"sbw_rmse","CV Extension/plot_wt_att.R","analysis/cv/wz_replication/plot_wc_att.R",0,TRUE,""
"truth","CV Extension/plot_wt_att.R","analysis/cv/wz_replication/plot_wc_att.R",0,TRUE,""
"bind","CV Extension/Replication w Balnet As well.qmd","analysis/cv/wz_replication/wc_findings.qmd",0,TRUE,""
"mcse","CV Extension/Replication w Balnet As well.qmd","analysis/cv/wz_replication/wc_findings.qmd",0,TRUE,""
"rmse","CV Extension/Replication w Balnet As well.qmd","analysis/cv/wz_replication/wc_findings.qmd",0,TRUE,""
