"file","line","type","snippet"
"CV Extension/plot_wc_grids.R",7,"absolute","dir <- ""C:/Users/otisr/Documents/Thesis 2026/Masters_Thesis/CV Extension/"""
"CV Extension/plot_wt_att.R",13,"absolute","dir <- ""C:/Users/otisr/Documents/Thesis 2026/Masters_Thesis/CV Extension/"""
"CV Extension/run_wc_basis.R",15,"absolute","dir         <- ""C:/Users/otisr/Documents/Thesis 2026/Masters_Thesis/CV Extension/"""
"CV Extension/run_wc_noise.R",13,"absolute","dir         <- ""C:/Users/otisr/Documents/Thesis 2026/Masters_Thesis/CV Extension/"""
"CV Extension/run_wc_overlap.R",14,"absolute","dir         <- ""C:/Users/otisr/Documents/Thesis 2026/Masters_Thesis/CV Extension/"""
"CV Extension/run_wc_overlap_n.R",16,"absolute","dir         <- ""C:/Users/otisr/Documents/Thesis 2026/Masters_Thesis/CV Extension/"""
"CV Extension/run_wc_path.R",20,"absolute","dir         <- ""C:/Users/otisr/Documents/Thesis 2026/Masters_Thesis/CV Extension/"""
"CV Extension/summarise_sw_sbw.R",15,"absolute","dir      <- ""C:/Users/otisr/Documents/Thesis 2026/Masters_Thesis/CV Extension/"""
"Exploring CV/.Rapp.history",1,"absolute","load(""/Users/otis/Documents/Masters_Thesis/Exploring CV/dim_05_r200.rds"")"
"Exploring CV/balnet_mini_experiment edited.R",415,"absolute","out_file <- file.path(""C:/Users/otisr/Documents/Thesis 2026/Masters_Thesis"","
"Exploring CV/balnet_mini_experiment edited.R",429,"absolute","dir <- ""C:/Users/otisr/Documents/Thesis 2026/Masters_Thesis/Exploring CV"""
"Exploring CV/balnet_mini_experiment edited.R",459,"absolute","dir <- ""/Users/otis/Documents/Masters_Thesis/Exploring CV""     # Mac path"
"Exploring CV/balnet_mini_experiment edited.R",524,"absolute","dir <- ""C:/Users/otisr/Documents/Thesis 2026/Masters_Thesis/Exploring CV""  # EDIT: set once"
"Exploring CV/balnet_mini_experiment edited.R",592,"absolute","dir <- ""C:/Users/otisr/Documents/Thesis 2026/Masters_Thesis/Exploring CV"""
"Exploring CV/balnet_mini_experiment edited.R",675,"absolute","dir <- ""C:/Users/otisr/Documents/Thesis 2026/Masters_Thesis/Exploring CV"""
"Exploring CV/balnet_mini_experiment edited.R",785,"absolute","dir <- ""C:/Users/otisr/Documents/Thesis 2026/Masters_Thesis/Exploring CV"""
"Exploring CV/balnet_mini_experiment edited.R",863,"absolute","dir <- ""C:/Users/otisr/Documents/Thesis 2026/Masters_Thesis/Exploring CV"""
"Exploring CV/balnet_mini_experiment edited.R",923,"absolute","dir <- ""C:/Users/otisr/Documents/Thesis 2026/Masters_Thesis/Exploring CV"""
"Exploring CV/balnet_mini_experiment edited.R",1013,"absolute","dir <- ""C:/Users/otisr/Documents/Thesis 2026/Masters_Thesis/Exploring CV"""
"Exploring CV/balnet_mini_experiment edited.R",1098,"absolute","dir <- ""C:/Users/otisr/Documents/Thesis 2026/Masters_Thesis/Exploring CV"""
"Exploring CV/balnet_mini_experiment edited.R",1147,"absolute","dir <- ""C:/Users/otisr/Documents/Thesis 2026/Masters_Thesis/Exploring CV"""
"Exploring CV/balnet_mini_experiment edited.R",1198,"absolute","dir <- ""C:/Users/otisr/Documents/Thesis 2026/Masters_Thesis/Exploring CV"""
"Exploring CV/balnet_mini_experiment edited.R",1263,"absolute","dir <- ""C:/Users/otisr/Documents/Thesis 2026/Masters_Thesis/Exploring CV"""
"Exploring CV/balnet_mini_experiment Machine 2.R",415,"absolute","out_file <- file.path(""C:/Users/otisr/Documents/Thesis 2026/Masters_Thesis"","
"Exploring CV/balnet_mini_experiment Machine 2.R",429,"absolute","dir <- ""C:/Users/otisr/Documents/Thesis 2026/Masters_Thesis/Exploring CV"""
"Exploring CV/balnet_mini_experiment Machine 2.R",459,"absolute","dir <- ""/Users/otis/Documents/Masters_Thesis/Exploring CV""     # Mac path"
"Exploring CV/balnet_mini_experiment Machine 2.R",527,"absolute","dir <- ""/Users/otis/Documents/Masters_Thesis/Exploring CV"""
"Exploring CV/balnet_mini_experiment Machine 2.R",603,"absolute","dir <- ""/Users/otis/Documents/Masters_Thesis/Exploring CV"""
"Exploring CV/balnet_mini_experiment Machine 2.R",680,"absolute","dir <- ""/Users/otis/Documents/Masters_Thesis/Exploring CV"""
"Exploring CV/balnet_mini_experiment Machine 2.R",763,"absolute","dir <- ""/Users/otis/Documents/Masters_Thesis/Exploring CV"""
"Exploring CV/balnet_mini_experiment Machine 2.R",836,"absolute","dir <- ""/Users/otis/Documents/Masters_Thesis/Exploring CV"""
"Exploring CV/balnet_mini_experiment Machine 2.R",908,"absolute","dir <- ""/Users/otis/Documents/Masters_Thesis/Exploring CV"""
"Exploring CV/balnet_mini_experiment WINDOWS.R",415,"absolute","out_file <- file.path(""C:/Users/otisr/Documents/Thesis 2026/Masters_Thesis"","
"Exploring CV/balnet_mini_experiment WINDOWS.R",429,"absolute","dir <- ""C:/Users/otisr/Documents/Thesis 2026/Masters_Thesis/Exploring CV"""
"Exploring CV/balnet_mini_experiment WINDOWS.R",461,"absolute","dir <- ""C:/Users/otisr/Documents/Thesis 2026/Masters_Thesis/Exploring CV""  # EDIT: set once"
