"path","kind","component","proposed_dest","reason","path_style","ambiguous","reads","writes","includes_images","functions_defined","git_status","size_bytes","moved_phase2"
".DS_Store","dead","shared","archive/.DS_Store","Finder metadata; deletion candidate, archived per no-delete rule","none",FALSE,"","","","","tracked, clean",18436,TRUE
".gitignore","note","shared",".gitignore","stays; target adds .DS_Store and *.png at root","none",FALSE,"","","","","tracked, clean",72,FALSE
".RData","dead","shared","archive/.RData","25 MB R workspace image, gitignored; never load blindly; deletion candidate, archived per no-delete rule","none",FALSE,"","","","","ignored",24981671,TRUE
"AAAA ROLLING NOTES W ERIK AAAAAA.qmd","note","shared","notes/rolling_notes_erik.qmd","meeting notes; target names it rolling_notes_erik.qmd","none",FALSE,"","","","","tracked, modified",694,TRUE
"analysis/Analysis.R","function","ipw","R/summarise.R","shared analysis library sourced by every analysis qmd: load_sim/summarise_sim/summarise_diag/kkt_check/curve_stats/loss_gap -> R/summarise.R; line_plot/panel/decomp_plot/perf_table/trunc_table/lambda_plot/smd_plot/nnz_plot/risk_curve/cv_curve_plot -> R/plots.R. Estimator labels are ipw-specific","relative",TRUE,"_cvcurves.rds; fread(path)…); fread(out_file)…)","","","drop0; load_sim; is_diag; summarise_sim; as_c; n_relabel; line_plot; panel; decomp_plot; perf_table; trunc_table; delta_ms; delta_table; delta_panel; spec_grid; extreme_heat; diag_wide; as_diag; pivot_q; summarise_diag; lambda_plot; kkt_check; smd_plot; nnz_plot; rep_cv; risk_curve; cv_bias_bins; cv_regret; load_cv_curves; cv_curve_plot; curve_stats; flatness_table; loss_gap","tracked, clean",34746,TRUE
"analysis/correctspec.qmd","analysis","ipw","analysis/ipw/correctspec.qmd","reads ../results/*.csv.gz via load_sim and sources Analysis.R; target lists only e-series.qmd and misspecification.qmd under analysis/ipw so consolidation is a later decision","relative",FALSE,"Analysis.R; .csv.gz; _cvcurves.rds; fread(csv, select = c(""n"", ""overlap""))…); readRDS(rds)…)","","","load_cv; num","tracked, clean",17823,TRUE
"analysis/CV Analysis.qmd","analysis","ipw","analysis/ipw/cv_analysis.qmd","E8: CV vs fixed lambda using the ipw overlap/misspec batches and their cvcurves sidecars. Ask: ipw (data source) or cv/thesis_dgp (topic)?","relative",TRUE,"Analysis.R; ../results/overlapDGP2.csv.gz; ../results/overlapmisspecDGP2.csv.gz; ../results/misspecDGP2.csv.gz","","","star_v","tracked, clean",9968,TRUE
"analysis/CV TUNING.qmd","analysis","cv","archive/analysis/cv_tuning.qmd","analyses four cv.balnet tuning rules on DGP2; reads results2/cvtune*.csv.gz which do not exist anywhere in the repo and are not in registry.csv; R chunk at line 53 has a syntax error (cvov <- <); misspeccification.qmd is an older copy of its first 60 lines","relative",TRUE,"","","","","tracked, clean",3302,TRUE
"analysis/cvfix.qmd","analysis","ipw","analysis/ipw/cvfix.qmd","reads ../results/*.csv.gz via load_sim and sources Analysis.R; target lists only e-series.qmd and misspecification.qmd under analysis/ipw so consolidation is a later decision","relative",FALSE,"Analysis.R; .csv.gz; _cvcurves.rds; fread(csv, select = c(""n"", ""overlap""))…); readRDS(rds)…)","","","ld; degree_tbl; load_cv","tracked, clean",13531,TRUE
"analysis/Dimensionality.qmd","analysis","ipw","analysis/ipw/Dimensionality.qmd","reads ../results/*.csv.gz via load_sim and sources Analysis.R; target lists only e-series.qmd and misspecification.qmd under analysis/ipw so consolidation is a later decision","relative",FALSE,"Analysis.R; ../results/dimensionDGP2.csv.gz; ../results/dimensionmisspecDGP2.csv.gz; ../results/PoverMDGP2.csv.gz","","","","tracked, clean",8642,TRUE
"analysis/Increased Sparsity.qmd","analysis","ipw","analysis/ipw/increased_sparsity.qmd","reads ../results/*.csv.gz via load_sim and sources Analysis.R; target lists only e-series.qmd and misspecification.qmd under analysis/ipw so consolidation is a later decision","relative",FALSE,"Analysis.R; ../results/sparsityDGP2.csv.gz","","","","tracked, clean",5113,TRUE
"analysis/Instruments.qmd","analysis","ipw","analysis/ipw/Instruments.qmd","reads ../results/*.csv.gz via load_sim and sources Analysis.R; target lists only e-series.qmd and misspecification.qmd under analysis/ipw so consolidation is a later decision","relative",FALSE,"Analysis.R; ../results/instrumentsDGP2.csv.gz","","","","tracked, clean",2810,TRUE
"analysis/misspeccification.qmd","analysis","cv","archive/analysis/misspeccification.qmd","analyses four cv.balnet tuning rules on DGP2; reads results2/cvtune*.csv.gz which do not exist anywhere in the repo and are not in registry.csv; superseded by CV TUNING.qmd (same title, same first chunks)","relative",TRUE,"cvtunecorrect.csv.gz; cvtunemisspec.csv.gz; source(src)…)","","","","tracked, clean",2276,TRUE
"analysis/overlap.qmd","analysis","ipw","analysis/ipw/overlap.qmd","reads ../results/*.csv.gz via load_sim and sources Analysis.R; target lists only e-series.qmd and misspecification.qmd under analysis/ipw so consolidation is a later decision","relative",FALSE,"Analysis.R; ../results/overlapDGP2.csv.gz; ../results/overlapmisspecDGP2.csv.gz","","","","tracked, clean",15215,TRUE
"analysis/SNR.qmd","analysis","ipw","analysis/ipw/SNR.qmd","reads ../results/*.csv.gz via load_sim and sources Analysis.R; target lists only e-series.qmd and misspecification.qmd under analysis/ipw so consolidation is a later decision","relative",FALSE,"Analysis.R; ../results/snrDGP2correct.csv.gz","","","","tracked, clean",1883,TRUE
"analysis/Sparsity HD CHECK CHECK FOR SPARSITY ASSUMPTION WE MADE.qmd","analysis","ipw","analysis/ipw/sparsity_hd_check.qmd","reads ../results/*.csv.gz via load_sim and sources Analysis.R; target lists only e-series.qmd and misspecification.qmd under analysis/ipw so consolidation is a later decision; YAML header is malformed ('---a' line)","relative",FALSE,"Analysis.R; ../results/sparsityE6DGP2.csv.gz; ../results/sparsityE6ar1DGP2.csv.gz","","","","tracked, clean",4811,TRUE
"analysis/Sparsity HD.qmd","analysis","ipw","analysis/ipw/sparsity_hd.qmd","reads ../results/*.csv.gz via load_sim and sources Analysis.R; target lists only e-series.qmd and misspecification.qmd under analysis/ipw so consolidation is a later decision; YAML header is malformed ('---a' line); subset of 'Sparsity HD CHECK...qmd'","relative",FALSE,"Analysis.R; ../results/sparsityE6DGP2.csv.gz","","","","tracked, clean",2555,TRUE
"analysis/unequal trreatment..qmd","analysis","ipw","analysis/ipw/unequal_treatment.qmd","reads ../results/*.csv.gz via load_sim and sources Analysis.R; target lists only e-series.qmd and misspecification.qmd under analysis/ipw so consolidation is a later decision","relative",FALSE,"Analysis.R; ../results/prevDGP2correct.csv.gz","","","","tracked, clean",1864,TRUE
"CLAUDE.md","note","shared","CLAUDE.md","project rules; stays","none",FALSE,"","","","","untracked",575,FALSE
"crit_paths_seed.png","output","unknown","archive/crit_paths_seed.png","figure at root (2026-09-10), no script or qmd references 'crit_paths'; likely from an unsaved RStudio notebook. Ask: keep under output/ipw/figures or archive?","none",TRUE,"","","","","untracked",26779,TRUE
"CV Extension/.DS_Store","dead","cv","archive/cv_extension/.DS_Store","Finder metadata; deletion candidate, archived per no-delete rule","none",FALSE,"","","","","tracked, clean",6148,TRUE
"CV Extension/dgp_wc.R","function","cv","R/dgp_wc.R","dgp_wc + dgp_wc_overlap, side-effect free; merge into R/dgp.R","none",FALSE,"","","","dgp_wc; dgp_wc_overlap","tracked, clean",3146,TRUE
"CV Extension/dgp_wc_overlap.R","dead","cv","archive/cv_extension/dgp_wc_overlap.R","byte-identical to dgp_wc.R except one blank line","none",FALSE,"","","","dgp_wc; dgp_wc_overlap","tracked, clean",3144,TRUE
"CV Extension/files (1).zip","output","cv","archive/cv_extension/files_1.zip","untracked zip (2026-09-11): 9 fig_wc_*.png, 9 wc_*_lambda/rmse csv tables and a 210-line plot_wc_grids.R that differs from the 47-line one on disk. Ask: unpack figures/tables into output/cv/wz_replication and diff the script?","none",TRUE,"","","","","untracked",1540355,TRUE
"CV Extension/plot_wc_grids.R","analysis","cv","analysis/cv/wz_replication/plot_wc_grids.R","sources wc_grids.R, writes 9 png + 9 csv into results/ (should go to output/); a longer 210-line self-contained version sits inside files (1).zip","absolute",FALSE,"wc_grids.R; read_grid(""wc_noise_s"", sig, cc)…); read_grid(""wc_on_n"", ns, cc)…); read_grid(""wc_basis_K"", ks, cb)…)","","","","untracked",2412,TRUE
"CV Extension/plot_wt_att.R","analysis","cv","analysis/cv/wz_replication/plot_wc_att.R","header says plot_wc_att.R; reads wc_att_v2.rds and wc_sbw_v2.csv.gz, writes wc_att_v2.png","absolute",FALSE,"results/wc_att_v2.rds; results/wc_sbw_v2.csv.gz","results/wc_att_v2.png; dev.off()…)","","bind; truth; rmse; sbw_rmse","untracked",4125,TRUE
"CV Extension/Replication w Balnet As well.qmd","analysis","cv","analysis/cv/wz_replication/wc_findings.qmd","the only file using here::here(); target names it wc_findings.qmd; sources wc_grids.R, reads Results/*.rds via read_grid","here",FALSE,"wc_grids.R; results/wc_sbw_v2.csv.gz; results/wc_att_v2.rds; read_grid(""wc_noise_s"", sig, cc)…); read_grid(""wc_on_n"", ns, cc)…); read_grid(""wc_basis_K"", ks, cb)…)","","","bind; truth; rmse; mcse; sbw_err; show_model","tracked, modified",8089,TRUE
"CV Extension/Results/wc_att_v1.png","output","cv","output/cv/wz_replication/figures/wc_att_v1.png","figure written by plot_wt_att.R / earlier path script; regenerable","none",FALSE,"","","","","tracked, clean",21794,TRUE
"CV Extension/Results/wc_att_v2.png","output","cv","output/cv/wz_replication/figures/wc_att_v2.png","figure written by plot_wt_att.R / earlier path script; regenerable","none",FALSE,"","","","","tracked, clean",22398,TRUE
"CV Extension/Results/wc_att_v2.rds","result","cv","results/cv/wz_replication/wc_att_v2.rds","ATT path batch read by plot_wt_att.R and the qmd; run_wc_path.R writes batch_id wc_att_v1, the v2 producer is not in the repo","none",FALSE,"","","","","tracked, clean",1661360,TRUE
"CV Extension/Results/wc_basis_K10_c1.rds","result","cv","results/cv/wz_replication/wc_basis_K10_c1.rds","per-cell batch (list with cell, seeds, lam, res) written by run_wc_*.R; read by wc_grids.R::read_grid","none",FALSE,"","","","","tracked, clean",1715160,TRUE
"CV Extension/Results/wc_basis_K10_c3.rds","result","cv","results/cv/wz_replication/wc_basis_K10_c3.rds","per-cell batch (list with cell, seeds, lam, res) written by run_wc_*.R; read by wc_grids.R::read_grid","none",FALSE,"","","","","tracked, clean",1725115,TRUE
"CV Extension/Results/wc_basis_K125_c1.rds","result","cv","results/cv/wz_replication/wc_basis_K125_c1.rds","per-cell batch (list with cell, seeds, lam, res) written by run_wc_*.R; read by wc_grids.R::read_grid","none",FALSE,"","","","","tracked, clean",1723028,TRUE
"CV Extension/Results/wc_basis_K125_c3.rds","result","cv","results/cv/wz_replication/wc_basis_K125_c3.rds","per-cell batch (list with cell, seeds, lam, res) written by run_wc_*.R; read by wc_grids.R::read_grid","none",FALSE,"","","","","tracked, clean",1280252,TRUE
"CV Extension/Results/wc_basis_K20_c1.rds","result","cv","results/cv/wz_replication/wc_basis_K20_c1.rds","per-cell batch (list with cell, seeds, lam, res) written by run_wc_*.R; read by wc_grids.R::read_grid","none",FALSE,"","","","","tracked, clean",1720426,TRUE
"CV Extension/Results/wc_basis_K20_c3.rds","result","cv","results/cv/wz_replication/wc_basis_K20_c3.rds","per-cell batch (list with cell, seeds, lam, res) written by run_wc_*.R; read by wc_grids.R::read_grid","none",FALSE,"","","","","tracked, clean",1711442,TRUE
"CV Extension/Results/wc_basis_K65_c1.rds","result","cv","results/cv/wz_replication/wc_basis_K65_c1.rds","per-cell batch (list with cell, seeds, lam, res) written by run_wc_*.R; read by wc_grids.R::read_grid","none",FALSE,"","","","","tracked, clean",1723112,TRUE
"CV Extension/Results/wc_basis_K65_c3.rds","result","cv","results/cv/wz_replication/wc_basis_K65_c3.rds","per-cell batch (list with cell, seeds, lam, res) written by run_wc_*.R; read by wc_grids.R::read_grid","none",FALSE,"","","","","tracked, clean",1708875,TRUE
"CV Extension/Results/wc_noise_s1_c1.rds","result","cv","results/cv/wz_replication/wc_noise_s1_c1.rds","per-cell batch (list with cell, seeds, lam, res) written by run_wc_*.R; read by wc_grids.R::read_grid","none",FALSE,"","","","","tracked, clean",1718235,TRUE
"CV Extension/Results/wc_noise_s1_c2.rds","result","cv","results/cv/wz_replication/wc_noise_s1_c2.rds","per-cell batch (list with cell, seeds, lam, res) written by run_wc_*.R; read by wc_grids.R::read_grid","none",FALSE,"","","","","tracked, clean",1712275,TRUE
