family,design,alpha,cells,interior,bootinf_wins,cvbloss_wins,any_sel_win,floor_wins
alpha_bad,"alpha sweep, bad overlap, SNR",0,3,0,2,0,2,0
alpha_bad,"alpha sweep, bad overlap, SNR",0.25,3,1,1,1,1,1
alpha_bad,"alpha sweep, bad overlap, SNR",0.75,3,3,0,1,1,1
alpha_bad,"alpha sweep, bad overlap, SNR",1,3,1,1,1,1,1
dima,p x alpha x overlap,0.5,4,4,2,2,2,1
dima,p x alpha x overlap,0.75,4,4,2,2,2,2
dimhi,"p in {1000, 2000} x alpha x overlap",0.5,4,4,4,4,4,0
dimhi,"p in {1000, 2000} x alpha x overlap",0.75,4,4,4,4,4,0
dimhi,"p in {1000, 2000} x alpha x overlap",1,4,0,0,0,0,4
dimsnr,SNR at high p x alpha x overlap,0.5,12,12,12,12,12,0
dimsnr,SNR at high p x alpha x overlap,1,12,1,1,1,1,8
n_enet,"n x overlap x SNR (EN, bad/awful)",0.5,18,18,13,6,15,1
snr_enet,SNR x overlap (elastic net),0.5,20,16,14,6,15,3
spread,confounder spread x overlap x penalty,0,12,0,0,0,0,12
spread,confounder spread x overlap x penalty,0.5,12,2,1,0,1,10
spread,confounder spread x overlap x penalty,1,12,0,0,1,1,10
tune,"SNR x overlap, diluted confounding (lasso)",1,12,5,5,4,5,4
tune2,"SNR x overlap, fixed confounding (lasso)",1,12,5,2,0,2,6
tune4,SNR x overlap (lasso),1,20,6,7,5,8,10
tunea3,"overlap x density, ridge/EN",0,8,0,4,0,4,4
tunea3,"overlap x density, ridge/EN",0.5,8,4,3,0,3,4
tunea4,"overlap, ridge/EN, floor 1e-4",0,4,0,0,0,0,4
tunea4,"overlap, ridge/EN, floor 1e-4",0.5,4,3,2,0,2,2
tunen2,n x overlap x SNR (lasso),1,48,14,18,14,17,23
