design,overlap,sigma_y,n,p,s,lasso_floor,best_sel,best,best_alpha,ratio
"n = 1000, p = 100",awful,1,NA,NA,NA,0.40211542656415705,0.4627091937662495,boot.inf,0.5,1.1506874971692358
"n = 1000, p = 100",awful,2,NA,NA,NA,0.4044760848120642,0.4743377665717536,boot.inf,0.5,1.1727214151416392
"n = 1000, p = 100",awful,3,NA,NA,NA,0.5110599710062029,0.5183131262588724,boot.inf,0.5,1.0141923759718239
"n = 1000, p = 100",awful,5,NA,NA,NA,0.6652651480905637,0.6231370540326514,boot.inf,0.5,0.9366747316031392
"n = 1000, p = 100",awful,10,NA,NA,NA,1.266130332142614,0.8749057903899842,cv.bloss,0.5,0.6910076855274617
"n = 1000, p = 100",bad,1,NA,NA,NA,0.24067422995265234,0.32594594907579943,boot.inf,0.5,1.3543034879136107
"n = 1000, p = 100",bad,2,NA,NA,NA,0.3291380556155976,0.34912294390534304,boot.inf,0.5,1.0607188623398989
"n = 1000, p = 100",bad,3,NA,NA,NA,0.35945375996306633,0.38997542544297936,boot.inf,0.5,1.0849112427786236
"n = 1000, p = 100",bad,5,NA,NA,NA,0.5239186735329754,0.5009783828304782,boot.inf,0.5,0.9562140235471999
"n = 1000, p = 100",bad,10,NA,NA,NA,0.9281869503694403,0.7899845181951332,cv.bloss,0.5,0.8511049610002605
"n = 1000, p = 100",good,1,NA,NA,NA,0.07328333643953916,0.08461641209396784,boot.smd,0.5,1.1546473755841997
"n = 1000, p = 100",good,2,NA,NA,NA,0.12226044530352627,0.12294427813182265,boot.smd,0.5,1.0055932466677893
"n = 1000, p = 100",good,3,NA,NA,NA,0.19430485378146856,0.1872175337729909,boot.smd,0.5,0.9635247402700057
"n = 1000, p = 100",good,5,NA,NA,NA,0.2964640842643863,0.2742823285644275,boot.inf,0.5,0.9251789445085796
"n = 1000, p = 100",good,10,NA,NA,NA,0.5777323752242353,0.5030117416491349,cv.bloss,0.5,0.8706656632387979
"n = 1000, p = 100",moderate,1,NA,NA,NA,0.11592452600459915,0.18158996347078085,boot.inf,0.5,1.5664499112429109
"n = 1000, p = 100",moderate,2,NA,NA,NA,0.18278568985566615,0.21902302985361585,boot.inf,0.5,1.1982504211711758
