"batch_id","batch_file","label","seed","balnet_version","date_run","status","superseded_by","verified","notes"
"1","correctspecDGP1.csv.gz","E1 dgp1 correct iid ks n{500..50k} p50 c1","101","0.0.1","2026-08-06 22:23","failed","","no","err rows: NA"
"2","correctspecDGP1.csv.gz","DGP1correctspec","101","0.0.1","2026-08-06 23:13","complete","","no","err rows: 0"
"3","correctspecDGP2.csv.gz","DGP2correctspec","202","0.0.1","2026-08-07 00:04","complete","","no","err rows: 0"
"4","misspecDGP2.csv.gz","DGP2misspec","202","0.0.1","2026-08-07 00:43","complete","","no","err rows: 0"
"5","overlapDGP2.csv.gz","DGP2overlap","203","0.0.1","2026-08-07 11:24","complete","","no","err rows: 0"
"6","overlapmisspecDGP2.csv.gz","DGP2overlapmisspec","203","0.0.1","2026-08-07 17:26","complete","","no","err rows: 0"
"7","correctspecDGP1.csv.gz","DGP1correctspec","202","0.0.1","2026-08-07 18:19","complete","","no","err rows: 0"
"8","correctspecDGP2_ks.csv.gz","DGP2correctspec_ks","202","0.0.1","2026-08-07 19:05","complete","","no","err rows: 0"
"9","correctspecDGP2_pos.csv.gz","DGP2correctspec_pos","202","0.0.1","2026-08-07 19:49","complete","","no","err rows: 0"
"10","correctspecDGP2_mixed.csv.gz","DGP2correctspec_mixed","202","0.0.1","2026-08-07 20:32","complete","","no","err rows: 0"
"11","overlapDGP2.csv.gz","DGP2overlap","203","0.0.1","2026-08-08 09:21","complete","","no","err rows: 0"
"12","overlapmisspecDGP2.csv.gz","DGP2overlapmisspec","203","0.0.1","2026-08-08 15:15","complete","","no","err rows: 0"
"13","dimensionDGP2.csv.gz","DGP2dimension","204","0.0.1","2026-08-09 10:33","complete","","no","err rows: 0"
